Course,SLO,Question_ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer
ACCT201,LO3,Q2ACCT201LO3:D,"If a company uses “normal costing,” total manufacturing cost is:",Manufacturing overhead cost applied.,Direct materials cost plus direct labor cost.,Direct materials cost plus direct labor cost plus actual manufacturing overhead cost incurred.,Direct materials cost plus direct labor cost plus manufacturing overhead applied.,None of the above answers is correct.,D
ACCT201,LO3,Q3ACCT201LO3:D,Indirect costs:,are always variable costs.,are always fixed costs.,should not be allocated to cost objects.,cannot be cheaply and easily traced to a cost object.,None of the above answers is correct.,D
ACCT201,LO4,Q1ACCT201LO4:B,Budgeted production needs are determined by:,budgeted sales plus beginning inventory minus desired ending inventory,budgeted sales plus desired ending inventory minus beginning inventory,budgeted sales plus desired ending inventory,budgeted sales minus beginning inventory,None of the above answers is correct.,B
ACCT201,LO4,Q2ACCT201LO4:B,"A company has $100,000 in revenue in January and $120,000 of revenue in February. The company typically collects 60% of its sales in the same month the goods were sold, and 40% in the month after they were sold. How much cash would the company expect to collect in February?","$108,000","$112,000","$120,000",There is not enough information to answer the question.,None of the above answers is correct.,B
ACCT201,LO4,Q3ACCT201LO4:B,Which of the following budgets is usually prepared first?,Cash budget,Sales budget,Purchases budget,Flexible budget,None of the above answers is correct.,B
ACCT201,LO5,Q1ACCT201LO5:A,Return on investment (ROI) is a widely used metric for investment centers. What is one of the limitations of using ROI?,ROI may motivate managers to make suboptimal decisions from the standpoint of the organization as a whole.,ROI cannot compare differences in risk across different divisions.,ROI ignores the amount of capital invested in a division.,ROI cannot be used to compare the performance of units of different size.,None of the above answers is correct.,A
ACCT201,LO5,Q2ACCT201LO5:A,Which of the following is the calculation for return on investment (ROI)?,Net operating income divided by operating assets,Net operating income divided by sales revenue,Operating assets divided by net operating income,Sales revenue divided by operating assets,None of the above answers is correct.,A
ACCT201,LO5,Q3ACCT201LO5:A,A flexible budget:,is used to calculate variances.,is prepared before the static or planning budget.,is another name for the income statement.,is adjusted to actual selling prices.,None of the above answers is correct.,A
BAIS210,LO1,Q1BAIS210LO1:C,"Using the histogram below, determine which measure is the most appropriate when discussing the “average” purchase amount per transaction?",The mean is the better representation of the average because it is the numerical average of all points.,The standard deviation indicates that neither the mean nor the median are acceptable for measuring the average of the data.,The median is the better representation of the average because the distribution is skewed to the right.,The mean is the better representation of the average because the distribution is skewed to the right.,,C
BAIS210,LO1,Q2BAIS210LO1:C,Which of the following statements about variance is true?,Variance is a measure of central tendency.,Variance is less sensitive to outliers compared to the mean.,Variance measures how spread out the data points are from the mean.,Variance is expressed in the same units as the data.,,C
BAIS210,LO1,Q3BAIS210LO1:C,"There are three individuals at a meeting with ages 45, 46, and 47. If a 65-year-old walks into the room:",The mean age and standard deviation will stay the same.,"The mean age will stay the same, but the standard deviation will increase.",The mean age and standard deviation will increase.,"The mean age will increase, but the standard deviation will stay the same.",,C
BAIS210,LO2,Q1BAIS210LO2:B,The fact that the sampling distribution of the sample means can be approximated by a normal probability distribution whenever the sample size is large is based on the _____.,normal probability theorem.,central limit theorem.,assumption that the population has a normal distribution.,fact that there are tables of areas for the normal distribution.,,B
BAIS210,LO2,Q2BAIS210LO2:B,The purpose of statistical inference is to provide information about the _____.,population based upon information contained in the population.,population based upon information contained in the sample.,sample based upon information contained in the population.,mean of the sample based upon the mean of the population.,,B
BAIS210,LO2,Q3BAIS210LO2:B,Which of the following is not correct?,"The standard error of the mean decreases as the sample size, n increases.",Sample statistics provide us with an approximate value of the population parameter.,The sampling distribution of the mean is a distribution of sample statistics.,The sampling distribution of the mean is approximately normal.,,B
BAIS210,LO3,Q1BAIS210LO3:A,The value added and subtracted from a point estimate in order to develop a confidence interval of the population parameter is known as the:,margin or error.,sample size.,sample statistic.,confidence level.,,A
BAIS210,LO3,Q2BAIS210LO3:A,"The manager of an automobile dealership is considering a new bonus plan in order to increase sales. Currently, the mean sales rate per salesperson is five automobiles per month. The correct set of hypotheses for testing the effect of the bonus plan is _____.",H0: μ≤ 5 Ha: μ> 5,H0: μ≥ 5 Ha: μ< 5,H0: μ< 5 Ha: μ≥ 5,H0: μ> 5 Ha: μ≤ 5,,A
BAIS210,LO3,Q3BAIS210LO3:A,"In a hypothesis test, if the p-value is very small (e.g. p < 0.05), what does this typically indicate?",There is sufficient evidence to reject the null hypothesis.,There is insufficient evidence to reject the null hypothesis.,The test should be repeated with a larger sample size.,The test should be repeated with a smaller sample size.,,A
BAIS211,LO1,Q1BAIS211LO1:D,Which of the following is not a type of descriptive analytics:,Data Queries,Data Visualization,Data Dashboard,Data Integrity,,D
BAIS211,LO1,Q2BAIS211LO1:D,"Using the provided variables for a dataset, a Pivot Table will not work for which scenario? Gender Grade Level Study Hours/Week Screen Time/Week Political Preference College Major Expected College Debt",Analyze the gender difference in screen time per week.,Calculate the average study time by college major.,Determine the average college debt by political preference for only juniors.,Determine if there is a correlation between study hours/week and college debt.,,D
BAIS211,LO1,Q3BAIS211LO1:D,Consider the clustered bar chart of the dashboard developed to monitor the performance of a call center: This chart allows the IT manager to:,Identify which city contains the most customers.,Identify the percentage of customers who do not have one of the listed problems.,Identify how often a problem is related to hardware.,Identify the frequency of a particular type of problem by location.,,D
BAIS211,LO2,Q1BAIS211LO2:B,The type of analytics that uses statistics and modeling techniques to determine future performance based on current and historical data:,Descriptive Analytics,Predictive Analytics,Prescriptive Analytics,Business Analytics,,B
BAIS211,LO2,Q2BAIS211LO2:B,"Dixie Showtime Movie Theaters, Inc., owns and operates a chain of cinemas in several markets in the southern U.S. The owners would like to estimate weekly gross revenue as a function of advertising expenditures (in $100s). The following is a regression modeling the relationship: The coefficient for Newspaper Advertising, β2 can be interpreted as:","For an increase of $100 to newspaper advertising, we can expect gross revenue to decrease $1,934, holding television advertising constant.","For an increase of $100 to newspaper advertising, we can expect gross revenue to increase $1,943, holding television advertising constant.","For an expenditure of $0 to newspaper advertising, we can expect gross revenue to decrease $46.","For an increase of $100 to newspaper advertising, we can expect television advertising to increase $2,324.",,B
BAIS211,LO2,Q3BAIS211LO2:B,"Dixie Showtime Movie Theaters, Inc., owns and operates a chain of cinemas in several markets in the southern U.S. The owners would like to estimate weekly gross revenue as a function of advertising expenditures (in $100s). The following is a regression modeling the relationship: The p-value for Newspaper Advertising suggests (with α = .05)","We reject the hypothesis that β2 = 0. Therefore, we cannot conclude there is a significant relationship between Newspaper Advertising and gross revenue.","We reject the hypothesis that β2 = 0. Therefore, we can conclude there is a significant relationship between Newspaper Advertising and gross revenue.","We fail to reject the hypothesis that β2 = 0. Therefore, we can conclude there is a significant relationship between Newspaper Advertising and gross revenue.","We fail to reject the hypothesis that β2 = 0. Therefore, we cannot conclude there is a significant relationship between Newspaper Advertising and gross revenue.",,B
BAIS211,LO3,Q1BAIS211LO3:D,"A type of prescriptive analytics, called optimization, is all of the following except:",It finds an optimal solution by searching the extreme points of the feasible region.,It can be used to support and improve managerial decision making.,It maximizes or minimizes an objective function subject to a set of constraints.,"It quantifies, describes, or summarizes features of a set of data.",,D
BAIS211,LO3,Q2BAIS211LO3:D,In which type of situation would What-If analysis not be appropriate?,You would like to compare different production alternatives to see which would be most profitable.,You want to determine when it would be cheaper to produce or outsource (make or buy decision).,"You want to calculate the cost for producing different quantities of products, given fixed and variable costs.","You want to create a model to predict the price of a house based on variables such as square footage, number of bedrooms and bathrooms, and location.",,D
BAIS211,LO3,Q3BAIS211LO3:D,Consider the following excerpts from an optimization model and its corresponding solver answer report:,Non-negativity constraints should be used in this model.,The Fat Totals constraint is considered a binding slack variable because all of the available Fat Totals have been used in finding the optimal solution.,The Carbs Totals constraint is considered a surplus variable and a non-binding constraint because the optimal solution uses approximately 71 Carbs more than the required minimum of 90.,All of the above.,,D
BAIS220,LO1,Q1BAIS220LO1:A,"To quickly summarize columns of data on an Excel sheet using aggregate functions such as AVERAGE, MIN, MAX, and SUM, you would:",insert a pivot table.,insert a table.,record a macro.,apply a conditional format.,,A
BAIS220,LO1,Q2BAIS220LO1:A,"In Excel, the function that looks for a value in the leftmost column of a table, and then returns a value in the same row from a column you specify is known as:",VLOOKUP,PIVOT TABLE,QUERY,INDEX,,A
BAIS220,LO1,Q3BAIS220LO1:A,"In Excel, a cell with dollar signs in the column and/or row reference (such as =$A$1) is used to:",keep the cell reference from changing when copied or when using an autofill.,compare the value in two cells.,compute the absolute value of a cell.,designate a cell in currency format.,,A
BAIS220,LO2,Q1BAIS220LO2:B,An organized collection of data stored efficiently to retrieve when needed for operational and strategic decision-making is:,An Excel workbook,A database,A Google form,A data lake,,B
BAIS220,LO2,Q2BAIS220LO2:B,Which of the following fields would you select as the Primary Key of a relational database table?,LastName,StudentID,Major,Tuition,,B
BAIS220,LO2,Q3BAIS220LO2:B,"In Excel, to compute the number of cells within a range that meet a given condition (such as the number of cells equal to zero in column A), you would use the following function:",IF,COUNTIF,VLOOKUP,HLOOKUP,,B
BAIS220,LO3,Q1BAIS220LO3:D,Which of the following chart types would be most appropriate to show the Average Salary by Department within an organization?,Pie Chart,Line Chart,Scatter Plot,Column or Bar Chart,,D
BAIS220,LO3,Q2BAIS220LO3:D,"In Excel, if you wish to copy and paste a range of data to a new workbook that retains the contents of the cells but without the functions, formulas, cell references, etc, you would use a:",Paste & Transpose,Format Painter,Match Destination Format,Paste Values,,D
BAIS220,LO3,Q3BAIS220LO3:D,"In the worksheet below, in order to sort the data by ""Unit Price"", the following range should be selected:",A:G,A3:G13,A1:E13,A3:E12,,D
BAIS302,LO1,Q1BAIS302LO1:E,"In Operations Management, which of the following is a characteristic that differentiates services from goods?",production and consumption occur simultaneously,cannot be inventoried,high customer contact,quality heavily influenced by customer personal perception,All of the above,E
BAIS302,LO1,Q2BAIS302LO1:E,Operations management is applicable:,to the manufacturing sector exclusively.,mostly to the manufacturing sector.,to the service sector exclusively.,mostly to the service sector.,"to all firms, whether manufacturing or service.",E
BAIS302,LO1,Q3BAIS302LO1:E,Which of the following represents a reason for globalizing operations?,to improve the supply chain,to improve operations,to understand markets,to attract and retain global talent,all of the above,E
BAIS302,LO2,Q1BAIS302LO2:B,"In quality management, which of the following means making continuous improvement?",JIT,Kaizen,Kyoto,Pareto,Muda,B
BAIS302,LO2,Q2BAIS302LO2:B,"Fabricators, Inc. wants to increase capacity by adding a new machine. The fixed costs for machine A are $90,000, and its variable cost is $15 per unit. The revenue is $21 per unit. What is the break-even point for machine A?","$15,000","15,000 units","$90,000","90,000 units","4,286 units",B
BAIS302,LO2,Q3BAIS302LO2:B,"A Subway restaurant employs 3 employees to serve customers in a sequential process. The first employee accepts order and prepares the bread (3 minutes per order), the second makes the sandwich (2 minutes per order), and the last employee accepts payment (3 minutes per order). What is the bottleneck time for this service process?",2 minutes,3 minutes,5 minutes,8 minutes,None of the above,B
BAIS302,LO3,Q1BAIS302LO3:C,"What quality control tool resembles a ""fishbone?""",Checklists,Scatter diagrams,Cause-and-effect diagrams,Pareto analysis,Flowcharts,C
BAIS302,LO3,Q2BAIS302LO3:C,"When facing uncertain demand, extra inventory carried to help reduce stockout is called:",Reorder point,Just-in-time inventory,Safety inventory,Wasted inventory,EOQ,C
BAIS302,LO3,Q3BAIS302LO3:C,"In inventory management, which of the following refers to how much we should order every time to minimize the annual inventory costs (ordering cost and holding cost)?",Reorder point,Just-in-time inventory,EOQ,MRP,Leadtime,C
BLAW300,LO1,Q1BLAWLO1:C,"Bill owns a small pizza parlor by himself, and isn’t incorporated. While he is the sole owner of the pizza place, it has many cooks, waiters, and waitresses to help him run the daily operations. Last week, a family had dinner at Bill’s pizza place and all received food poisoning. A jury awarded the family $300,000 for medical bills, $100,000 for pain and suffering and $100,000 for punitive damages. What is Bill’s possible liability?","Bill is not responsible, because he isn’t the one that cooked the food.","Bill is only responsible for the amount he paid for the pizza parlor (around $150,000).","Bill is responsible for paying the full amount of $500,000 (medical, pain and suffering and punitive damages.)","Bill is responsible for only paying the $300,000 medical bills of the family.",,C
BLAW300,LO1,Q2BLAWLO1:C,"In a limited partnership, limited partners are:",Always personally liable for all of the debts of the partnership.,"Permitted to be involved in control and operations of the limited partnership, without losing their limited liability.","As long as they are passive investors, not personally liable, and their liability will typically NOT exceed the amount of their investment.","The same as regular partners, carrying all the same attributes.",,C
BLAW300,LO1,Q3BLAWLO1:C,"Jack and Jill want to create some type of company and are trying to decide which organizational form would be best for them. If they weren’t concerned about taxes, but wanted their business to have perpetual existence, limited personal liability and allow their ownership interest to be easily distributed among shareholders, what form should they choose?",Sole proprietorship,Partnership,C Corporation,Limited Partnership,,C
BLAW300,LO2,Q1BLAWLO2:D,"Contract law requires certain contracts to be in writing, to be enforceable. Which of the following contracts does NOT have to be in writing?",Contracts involving an interest in land.,Sale of good contracts for $500 or more.,Collateral contracts to pay the debt of another person.,All of these contracts must be in writing.,,D
BLAW300,LO2,Q2BLAWLO2:D,The difference between a bilateral contract and a unilateral contract is:,There is no difference between these two terms.,"A bilateral contract involves two separate contracts, each one with its own separate consideration, and a unilateral contract involves one.",You accept a bilateral contract by performing a duty and a unilateral contract by promising to perform a duty.,You accept a bilateral contract by promising to perform a duty and a unilateral contract by performing a duty.,,D
BLAW300,LO2,Q3BLAWLO2:D,"ABC, Inc. agreed to sell XYZ, Inc. 1 million boxes of widgets at $1 a box. ABC, Inc. delivered the widgets to XYZ, Inc., who refused to pay. ABC, Inc. brought a breach of contract case against XYZ, Inc. Which of the following elements of a contract must ABC, Inc. prove in order to demonstrate to the court that a valid, enforceable contract existed:","offer, acceptance, consideration, capacity, and remedy.","offer, consideration, capacity, legality, and the statute of frauds.","acceptance, consideration, capacity, legality, and performance.","offer, acceptance, consideration, capacity, and legality of purpose.",,D
BLAW300,LO3,Q1BLAWLO3:D,Which of the following is NOT an essential element of negligence?,Existence of a duty of care owed by the defendant to the plaintiff.,Unreasonable behavior by the defendant that breaches the duty.,Proximate (or in fact) causation and an actual injury.,All of these are essential elements of negligence.,,D
BLAW300,LO3,Q2BLAWLO3:D,What is the difference between punitive damages and compensatory damages?,"Compensatory damages are limited to $250,000 per person. Punitive damages are limited to $1,000,000 per person. These amounts were mandated by the Uniform Torts Act (UTA).","Compensatory damages make an example of the defendant, while punitive damages reimburse for injuries suffered by the plaintiff.",Compensatory damages are only awarded for negligence. Punitive damages are only awarded for strict liability claims.,"Punitive damages make an example of the defendant, while compensatory damages reimburse for injuries suffered by the plaintiff.",,D
BLAW300,LO3,Q3BLAWLO3:D,"Mary sues ABC, Inc. under the law of product liability. Which of the following is a true statement:",A design defect in a product occurs during the manufacturing or production phase of the product.,Strict liability for unreasonably dangerous products is called Negligence.,Only a manufacturer of a defective product can be held liable under product liability law.,A defective product is a product that is unreasonably dangerous to the consumer.,,D
BLAW300,LO4,Q1BLAWLO4:D,Which of the following is a true statement:,The United States Constitution creates three branches of government at the federal level: executive; legislative; and judicial.,"Under the doctrine of Judicial Review, the judiciary is the guardian of the United States Constitution and can review laws or executive actions and declare them unconstitutional.",Judicial Restraint and Judicial Activism are two different philosophies a judge may use to interpret the law.,All of these statements are true.,,D
BLAW300,LO4,Q2BLAWLO4:D,A court ruled in a judicial decision that it must rely upon and follow precedent. This is called:,The doctrine of judicial review.,The doctrine of jurisprudence.,The doctrine of respondent superior.,The doctrine of stare decisis.,,D
BLAW300,LO4,Q3BLAWLO4:D,In the United States legal system:,The United States Constitution is the highest source of law.,Both federal and state courts exist to hear and decide cases.,"In both the federal and state court systems, appeals courts exist to review trial courts' decisions.",All of these statements are true.,,D
BLAW300,LO5,Q1BLAWLO5:A,"Delltrix Corp., a customer support provider, needs operators who are bilingual in English and Spanish. A few applicants of Spanish origin are rejected because of their poor English language proficiency. The applicants file a disparate impact case with the Equal Employment Opportunity Commission against Delltrix on the grounds of discrimination based on nationality. Which of the following defenses is Delltrix most likely to use in this case?",The business necessity defense.,The defense of undue hardship.,The comparative negligence defense.,The assumption-of-risk defense.,,A
BLAW300,LO5,Q2BLAWLO5:A,"GVB Inc., a consulting firm, hires Zainab, who is a Muslim. In order to avoid discriminating against Zainab based on her religion, GVB:",Must make reasonable accommodation to her religious needs.,Must do whatever it takes in order to avoid any discussion on the topic of religion.,Must make work-related adjustments to suit her religious needs even if they create undue hardship.,Need not accommodate her religious needs as religious discrimination suits only apply to religious corporations.,,A
BLAW300,LO5,Q3BLAWLO5:A,The Americans with Disabilities Act:,"Requires employers with 15 or more employees to make a reasonable accommodation for covered employees, up to an undue hardship","Requires employers with over 500 employees to use all methods and techniques to accommodate employees with disabilities, irrespective of cost.","Puts a dollar limit on reasonable accommodations for any employer at $1,000 per employee.","Was enacted in 1943, as an acknowledgement of Franklin Roosevelt’s physical disabilities, but remarkable “abilities” to lead our nation out of a depression.",,A
ECON200,LO1,Q1ECON200LO1:D,Opportunity cost is best defined as:,"A cost that cannot be avoided, regardless of what is done in the future.",The additional cost of producing an additional unit of output.,The additional cost of buying an additional unit of a product.,"That which we forgo, or give up, when we make a choice or a decision.",,D
ECON200,LO1,Q2ECON200LO1:D,Profit-maximizing firms choose quantities such that:,Total revenue is maximized.,Price is greater than their average total cost.,The average total cost is minimized.,The marginal revenue from sales equals the marginal cost of production.,,D
ECON200,LO1,Q3ECON200LO1:D,"According to the law of demand, quantity demanded increases as__________, ceteris paribus.",demand increases,demand decreases,prices rise,prices fall,,D
ECON200,LO2,Q1ECON200LO2:C,"If price increases in a market, but more consumers purchase the product, which of the following is a possible cause?","Supply increased, ceteris paribus.","Supply decreased, ceteris paribus.","Demand increased, ceteris paribus.","Demand decreased, ceteris paribus",,C
ECON200,LO2,Q2ECON200LO2:C,When quantity demanded equals quantity supplied:,there must be no government intervention in the market.,the demand curve must be the same as the supply curve.,the market is in equilibrium.,all of the above.,,C
ECON200,LO2,Q3ECON200LO2:C,"When there is an excess demand (i.e., a shortage) of a product in an unregulated market, the tendency is for:",quantity supplied to decrease.,quantity demanded to increase.,price to rise.,price to decrease.,,C
ECON200,LO3,Q1ECON200LO3:A,"If the government places an excise tax on the buyers in the market below, which of the following is true?","The buyers and sellers, depending their relative elasticities, share the burden of the tax.",The burden of the tax falls on the buyers since they are the side of the market upon whom the tax is levied.,The burden of the tax falls on the sellers since they will collect the tax on the buyers’ behalf.,The government will be burdened most as they are tasked with collecting the tax.,,A
ECON200,LO3,Q2ECON200LO3:A,The loss in consumer and producer surplus caused by the inability of the market to reach equilibrium is called:,Deadweight loss.,Fixed costs.,Diminishing product of labor.,Opportunity cost.,,A
ECON200,LO3,Q3ECON200LO3:A,Imperfect competition and market power:,are major sources of inefficiency.,result in higher output than in perfect competition.,are always the result of product differentiation.,result from diseconomies of scale.,,A
ECON201,LO1,Q1ECON201LO1:A,Nominal GDP rises faster than real GDP when _____.,prices are rising.,prices are falling.,real GDP is below potential GDP.,real GDP is above potential GDP.,,A
ECON201,LO1,Q2ECON201LO1:A,Cyclical unemployment is closely associated with ______.,short-run ups and downs of the economy.,long-term economic growth.,fluctuations in the natural rate of unemployment.,changes in the minimum wage.,,A
ECON201,LO1,Q3ECON201LO1:A,Inflation is best defined as an increase in ______.,the average price level.,the real price of a good or service.,the price of one product relative to the price of another product.,the average number of times a dollar is spent on final goods and services in a year.,,A
ECON201,LO2,Q1ECON201LO2:D,Suppose that an economy is in short run equilibrium at an output level below potential GDP. To achieve potential GDP the Federal Reserve could ______.,increase taxes.,increase government purchases.,sell treasury securities to increase the money supply.,buy government securities to increase money supply.,,D
ECON201,LO2,Q2ECON201LO2:D,"Ceteris paribus, an increase in government spending would ______.","shift the aggregate demand curve left, which causes GDP to decrease.","shift the aggregate supply curve left, which causes GDP to decrease.","shift the aggregate supply curve right, which causes GDP to increase.","shift the aggregate demand curve right, which causes GDP to increase.",,D
ECON201,LO2,Q3ECON201LO2:D,Assume the government is considering different policies to increase total expenditures in order to reduce unemployment. Which of the following would achieve this objective?,Decreasing taxes.,Increasing government spending.,Increasing transfer payments.,All of the above are correct.,,D
ECON300,LO1,Q1ECON300LO1:B,One consideration when thinking of business cultures across countries is:,they generally have no basis in fact,"in every society, many people will follow the norms, but others will deviate from them",they will always lead you down the wrong path in managing people and marketing,each person closely follows his or her country’s cultural norms,,B
ECON300,LO1,Q2ECON300LO1:B,Cross-cultural literacy refers to,An individual’s self-concept envied from perceived membership in a relevant social group,An understanding of how cultural differences can affect business,The phenomenon of merging and converging cultures,"Abstract ideas about what a group believes to be good, right, and desirable",,B
